SKU,name_pl,name_en,name_de,desc_pl,desc_en,desc_de,price,cost,category_id,equipment_type,min_order_qty,technical_specs_json
SIL-004,Silnik elektryczny 7.5kW 950rpm,Electric motor 7.5kW 950rpm,Elektromotor 7.5kW 950rpm,Silnik elektryczny wolnoobrotowy,Low-speed electric motor,Langsamlaufender Elektromotor,1899.99,949.99,cat-silniki,Silniki,1,"{""power"": ""7.5kW"", ""speed"": ""950rpm"", ""voltage"": ""400V""}"
SIL-005,Silnik hydrauliczny OMR160,Hydraulic motor OMR160,Hydraulikmotor OMR160,Silnik hydrauliczny orbit średni,Medium orbit hydraulic motor,Mittlerer Orbit-Hydraulikmotor,1299.99,649.99,cat-silniki,Silniki,1,"{""displacement"": ""160cc"", ""pressure"": ""175bar"", ""speed"": ""800rpm""}"
SIL-006,Silnik elektryczny 1.5kW 2800rpm,Electric motor 1.5kW 2800rpm,Elektromotor 1.5kW 2800rpm,Silnik elektryczny wysokoobrotowy,High-speed electric motor,Hochgeschwindigkeits-Elektromotor,599.99,299.99,cat-silniki,Silniki,1,"{""power"": ""1.5kW"", ""speed"": ""2800rpm"", ""voltage"": ""230V""}"
SIL-007,Silnik krokowy NEMA 23,Stepper motor NEMA 23,Schrittmotor NEMA 23,Silnik krokowy bipolarny,Bipolar stepper motor,Bipolarer Schrittmotor,129.99,64.99,cat-silniki,Silniki,2,"{""steps"": ""200"", ""torque"": ""1.2Nm"", ""voltage"": ""24V""}"
SIL-008,Silnik hydrauliczny MS50,Hydraulic motor MS50,Hydraulikmotor MS50,Silnik hydrauliczny tłokowy,Piston hydraulic motor,Kolben-Hydraulikmotor,2499.99,1249.99,cat-silniki,Silniki,1,"{""displacement"": ""50cc"", ""pressure"": ""350bar"", ""speed"": ""2000rpm""}"
SIL-009,Silnik elektryczny 11kW 1450rpm,Electric motor 11kW 1450rpm,Elektromotor 11kW 1450rpm,Silnik elektryczny przemysłowy,Industrial electric motor,Industrie-Elektromotor,2499.99,1249.99,cat-silniki,Silniki,1,"{""power"": ""11kW"", ""speed"": ""1450rpm"", ""voltage"": ""400V""}"
SIL-010,Silnik pneumatyczny 1kW,Pneumatic motor 1kW,Pneumatikmotor 1kW,Silnik pneumatyczny tłokowy,Piston pneumatic motor,Kolben-Pneumatikmotor,599.99,299.99,cat-silniki,Silniki,1,"{""power"": ""1kW"", ""pressure"": ""6bar"", ""speed"": ""2500rpm""}"
SIL-011,Silnik elektryczny 0.75kW 1400rpm,Electric motor 0.75kW 1400rpm,Elektromotor 0.75kW 1400rpm,Silnik elektryczny kompaktowy,Compact electric motor,Kompakter Elektromotor,449.99,224.99,cat-silniki,Silniki,1,"{""power"": ""0.75kW"", ""speed"": ""1400rpm"", ""voltage"": ""230V""}"
SIL-012,Silnik hydrauliczny OMT315,Hydraulic motor OMT315,Hydraulikmotor OMT315,Silnik hydrauliczny orbit duży,Large orbit hydraulic motor,Großer Orbit-Hydraulikmotor,1899.99,949.99,cat-silniki,Silniki,1,"{""displacement"": ""315cc"", ""pressure"": ""175bar"", ""speed"": ""500rpm""}"
SIL-013,Silnik bezszczotkowy BLDC 500W,Brushless motor BLDC 500W,Bürstenloser Motor BLDC 500W,Silnik bezszczotkowy DC,Brushless DC motor,Bürstenloser Gleichstrommotor,299.99,149.99,cat-silniki,Silniki,1,"{""power"": ""500W"", ""voltage"": ""48V"", ""speed"": ""3000rpm""}"
SIL-014,Silnik elektryczny 5.5kW 950rpm,Electric motor 5.5kW 950rpm,Elektromotor 5.5kW 950rpm,Silnik elektryczny z hamulcem,Electric motor with brake,Elektromotor mit Bremse,1599.99,799.99,cat-silniki,Silniki,1,"{""power"": ""5.5kW"", ""speed"": ""950rpm"", ""brake"": true}"
SIL-015,Silnik hydrauliczny BMR100,Hydraulic motor BMR100,Hydraulikmotor BMR100,Silnik hydrauliczny orbit wolnoobrotowy,Low-speed orbit hydraulic motor,Langsamlaufender Orbit-Hydraulikmotor,899.99,449.99,cat-silniki,Silniki,1,"{""displacement"": ""100cc"", ""pressure"": ""250bar"", ""speed"": ""600rpm""}"
SIL-016,Silnik elektryczny 15kW 1450rpm,Electric motor 15kW 1450rpm,Elektromotor 15kW 1450rpm,Silnik elektryczny ciężki,Heavy-duty electric motor,Schwerlast-Elektromotor,3299.99,1649.99,cat-silniki,Silniki,1,"{""power"": ""15kW"", ""speed"": ""1450rpm"", ""voltage"": ""400V""}"
SIL-017,Silnik serwo 1kW,Servo motor 1kW,Servomotor 1kW,Silnik serwo z enkoderem,Servo motor with encoder,Servomotor mit Encoder,1299.99,649.99,cat-silniki,Silniki,1,"{""power"": ""1kW"", ""torque"": ""3.2Nm"", ""encoder"": ""2500ppr""}"
SIL-018,Silnik hydrauliczny OMP50,Hydraulic motor OMP50,Hydraulikmotor OMP50,Silnik hydrauliczny orbit kompaktowy,Compact orbit hydraulic motor,Kompakter Orbit-Hydraulikmotor,599.99,299.99,cat-silniki,Silniki,1,"{""displacement"": ""50cc"", ""pressure"": ""175bar"", ""speed"": ""1200rpm""}"
SIL-019,Silnik elektryczny 2.2kW 2800rpm,Electric motor 2.2kW 2800rpm,Elektromotor 2.2kW 2800rpm,Silnik elektryczny standardowy,Standard electric motor,Standard-Elektromotor,749.99,374.99,cat-silniki,Silniki,1,"{""power"": ""2.2kW"", ""speed"": ""2800rpm"", ""voltage"": ""400V""}"
SIL-020,Silnik hydrauliczny radialny,Radial piston hydraulic motor,Radialkolben-Hydraulikmotor,Silnik hydrauliczny tłokowy radialny,Radial piston hydraulic motor,Radialkolben-Hydraulikmotor,3999.99,1999.99,cat-silniki,Silniki,1,"{""displacement"": ""125cc"", ""pressure"": ""400bar"", ""speed"": ""1500rpm""}"
LŻ-001,Łyżka standardowa 600mm,Standard bucket 600mm,Standardschaufel 600mm,Łyżka koparki standardowa,Standard excavator bucket,Standard-Baggerschaufel,2499.99,1249.99,cat-lyzki,Łyżki,1,"{""width"": ""600mm"", ""capacity"": ""0.25m3"", ""weight"": ""85kg""}"
LŻ-002,Łyżka skarpowa 1200mm,Slope bucket 1200mm,Böschungsschaufel 1200mm,Łyżka skarpowa szeroka,Wide slope bucket,Breite Böschungsschaufel,3299.99,1649.99,cat-lyzki,Łyżki,1,"{""width"": ""1200mm"", ""capacity"": ""0.4m3"", ""weight"": ""145kg""}"
LŻ-003,Łyżka chwytna hydrauliczna,Hydraulic grab bucket,Hydraulischer Greifer,Łyżka chwytna dwuszczękowa,Two-jaw hydraulic grab,Zweischaliger Hydraulikgreifer,4999.99,2499.99,cat-lyzki,Łyżki,1,"{""width"": ""800mm"", ""opening"": ""1200mm"", ""weight"": ""220kg""}"
LŻ-004,Łyżka trapezowa 800mm,Trapezoidal bucket 800mm,Trapezschaufel 800mm,Łyżka trapezowa do rowów,Trapezoidal ditch bucket,Trapez-Grabenschaufel,2899.99,1449.99,cat-lyzki,Łyżki,1,"{""width"": ""800mm"", ""capacity"": ""0.3m3"", ""angle"": ""45°""}"
LŻ-005,Łyżka przesiewająca,Screening bucket,Siebschaufel,Łyżka przesiewająca rotacyjna,Rotary screening bucket,Rotations-Siebschaufel,8999.99,4499.99,cat-lyzki,Łyżki,1,"{""width"": ""1000mm"", ""mesh"": ""50mm"", ""hydraulic"": true}"
LŻ-006,Łyżka do materiałów lekkich,Light material bucket,Leichtgutschaufel,Łyżka do materiałów sypkich,Bulk material bucket,Schüttgutschaufel,3499.99,1749.99,cat-lyzki,Łyżki,1,"{""width"": ""1500mm"", ""capacity"": ""0.8m3"", ""weight"": ""180kg""}"
LŻ-007,Łyżka wąska 300mm,Narrow bucket 300mm,Schmale Schaufel 300mm,Łyżka wąska do rowów,Narrow trench bucket,Schmale Grabenschaufel,1899.99,949.99,cat-lyzki,Łyżki,1,"{""width"": ""300mm"", ""capacity"": ""0.12m3"", ""weight"": ""65kg""}"
LŻ-008,Łyżka skalna wzmocniona,Reinforced rock bucket,Verstärkte Felsschaufel,Łyżka skalna z zębami,Rock bucket with teeth,Felsschaufel mit Zähnen,3999.99,1999.99,cat-lyzki,Łyżki,1,"{""width"": ""900mm"", ""capacity"": ""0.35m3"", ""teeth"": 5}"
LŻ-009,Łyżka czyszcząca 1000mm,Cleaning bucket 1000mm,Reinigungsschaufel 1000mm,Łyżka czyszcząca rowów,Ditch cleaning bucket,Grabenreinigungsschaufel,2699.99,1349.99,cat-lyzki,Łyżki,1,"{""width"": ""1000mm"", ""capacity"": ""0.38m3"", ""weight"": ""125kg""}"
LŻ-010,Łyżka hydrauliczna obrotowa,Hydraulic tilt bucket,Hydraulischer Schwenklöffel,Łyżka z obrotem hydraulicznym,Hydraulic rotating bucket,Hydraulisch drehbare Schaufel,5999.99,2999.99,cat-lyzki,Łyżki,1,"{""width"": ""800mm"", ""rotation"": ""180°"", ""hydraulic"": true}"
LŻ-011,Łyżka do betonu,Concrete bucket,Betonschaufel,Łyżka do zalewania betonu,Concrete pouring bucket,Betonschüttschaufel,2299.99,1149.99,cat-lyzki,Łyżki,1,"{""width"": ""600mm"", ""capacity"": ""0.5m3"", ""valve"": true}"
LŻ-012,Łyżka wielozadaniowa,Multi-purpose bucket,Mehrzweckschaufel,Łyżka wielofunkcyjna z chwytakiem,Multi-function bucket with grapple,Multifunktionsschaufel mit Greifer,6499.99,3249.99,cat-lyzki,Łyżki,1,"{""width"": ""1000mm"", ""grapple"": true, ""hydraulic"": true}"
LŻ-013,Łyżka do palet,Pallet fork bucket,Palettengabelschaufel,Łyżka z widłami do palet,Bucket with pallet forks,Schaufel mit Palettengabeln,3799.99,1899.99,cat-lyzki,Łyżki,1,"{""width"": ""1200mm"", ""forks"": ""1200mm"", ""capacity"": ""2000kg""}"
LŻ-014,Łyżka do śniegu,Snow bucket,Schneeschaufel,Łyżka do odśnieżania,Snow removal bucket,Schneeräumschaufel,2999.99,1499.99,cat-lyzki,Łyżki,1,"{""width"": ""1800mm"", ""capacity"": ""0.6m3"", ""rubber"": true}"
LŻ-015,Łyżka do drewna,Timber bucket,Holzschaufel,Łyżka do chwytania drewna,Timber grapple bucket,Holzgreiferschaufel,4499.99,2249.99,cat-lyzki,Łyżki,1,"{""width"": ""1000mm"", ""opening"": ""1500mm"", ""hydraulic"": true}"
LŻ-016,Łyżka do kamieni,Stone bucket,Steinschaufel,Łyżka do sortowania kamieni,Stone sorting bucket,Steinsortierungsschaufel,3599.99,1799.99,cat-lyzki,Łyżki,1,"{""width"": ""1100mm"", ""bars"": ""100mm"", ""weight"": ""195kg""}"
LŻ-017,Łyżka do gnojowicy,Slurry bucket,Gülleschaufel,Łyżka do materiałów płynnych,Liquid material bucket,Flüssigmaterialschaufel,2799.99,1399.99,cat-lyzki,Łyżki,1,"{""width"": ""1300mm"", ""capacity"": ""0.7m3"", ""sealed"": true}"
LŻ-018,Łyżka do korzeni,Root bucket,Wurzelschaufel,Łyżka do karczowania,Stump removal bucket,Rodungsschaufel,3299.99,1649.99,cat-lyzki,Łyżki,1,"{""width"": ""900mm"", ""teeth"": 7, ""reinforced"": true}"
LŻ-019,Łyżka do piasku,Sand bucket,Sandschaufel,Łyżka do materiałów sypkich,Loose material bucket,Schüttgutschaufel,2599.99,1299.99,cat-lyzki,Łyżki,1,"{""width"": ""1400mm"", ""capacity"": ""0.65m3"", ""weight"": ""155kg""}"
LŻ-020,Łyżka do złomu,Scrap bucket,Schrottschaufel,Łyżka do złomu z chwytakiem,Scrap grapple bucket,Schrottgreiferschaufel,5499.99,2749.99,cat-lyzki,Łyżki,1,"{""width"": ""1200mm"", ""opening"": ""1800mm"", ""hydraulic"": true}"
